业务模块,功能模块,功能项,功能类型,KANO类型,功能点,X,Y,理由
基础公共服务,权限管理,角色管理,用户配置,魅力型需求,支持对角色进行导出,0.592,0.793,auto-generated
基础公共服务,权限管理,部门/用户组管理,用户配置,魅力型需求,支持配置不同级别的用户密码策略；,0.291,0.846,auto-generated
基础公共服务,权限管理,用户管理,用户配置,基本型需求,支持配置登录源ip白名单；,0.863,0.367,auto-generated
基础公共服务,日志管理,操作日志,售后维护,基本型需求,提供操作记录功能，可记录用户使用系统的相关信息，方便日后进行事故追溯和安全审计；,0.835,-0.202,auto-generated
基础公共服务,日志管理,联动日志,售后维护,基本型需求,支持对日志的查询功能，可根据查询条件统计查询；查询条件包括操作对象（空间、设备、测点等）、操作类型、时间、操作人员等；原则上日志不可被任何人修改；,0.837,-0.709,auto-generated
基础公共服务,系统工具,系统工具,售后维护,期望型需求,设备调试日志(收发包)记录工具,0.816,0.47,auto-generated
基础公共服务,系统配置,监控配置,售后维护,基本型需求,支持监控系统采集、处理、存储、告警、发送、策略、双机、南北向、页面、硬件（硬件RS232/RS485/AI电压型/AI电流型工作模式、串口/I/O透传）、时区、时间等监控参数配置，保证系统正常、稳定的运行；,0.957,0.148,auto-generated
基础公共服务,系统配置,在线配置,售后维护,基本型需求,支持设备控制双因子认证功能，弹窗密码、验证码和人脸识别相结合,0.88,-0.648,auto-generated
基础公共服务,系统配置,集中批量配置,售后维护,基本型需求,支持对维护过程中客户需要更改的参数（告警级别、告警阈值、告警名称、测点名称、处理意见）采用Excel导入导出方式集中批量配置修改；,0.808,0.295,auto-generated
基础公共服务,系统维护,升级,售后维护,基本型需求,支持软件升级，可按模块（软件功能模块、驱动模板等）升级，提供升级版本管理，可远程升级；,0.856,-0.42,auto-generated
基础公共服务,系统维护,备份和还原,售后维护,基本型需求,当系统或数据库出现问题时，提供快速恢复还原已备份数据的功能；,0.922,-0.321,auto-generated
基础公共服务,系统维护,系统运行记录,售后维护,基本型需求,提供系统运行记录，尤其是关键业务的异常情况记录，可协助定位问题故障，实现故障快速诊断；,0.933,-0.177,auto-generated
基础公共服务,系统维护,时间同步,售后维护,基本型需求,支持NTP网络时钟自动同步，用于同步系统内多台监控主机的时间，一台监控主机作为服务器提供标准时间，其它主机作为客户端；,0.912,-0.043,auto-generated
基础公共服务,系统维护,设备调测,售后维护,期望型需求,提供串口调测工具，支持对设备的故障调测，调试信息原始可视；,0.696,0.418,auto-generated
基础公共服务,系统维护,看门狗,售后维护,期望型需求,合入雷电a，彩虹c 的看门狗程序，页面启停开关,0.647,0.431,auto-generated
基础公共服务,系统维护,远程维护,售后维护,期望型需求,支持通过无线Modem，提供产品的远程维护；,0.913,-0.221,auto-generated
基础公共服务,系统自诊断,系统自恢复,售后维护,基本型需求,系统具备自恢复功能，当发生意外导致系统停机/宕机时，意外消除后，系统可从软硬件两个方面进行自行恢复；,0.864,-0.271,auto-generated
基础公共服务,安全管理,账户密码安全,动环面客,基本型需求,不允许账号密码相同,0.877,0.168,auto-generated
基础公共服务,安全管理,系统安全,动环面客,基本型需求,新增系统支持单点登录功能,0.778,-0.006,auto-generated
基础公共服务,系统自监控,系统自监控,动环面客,基本型需求,一体化的的自监控体系，可统一监控系统站点通信状态、本机的磁盘空间等，并能够产生告警信息,0.886,0.142,auto-generated
基础公共服务,多语言,多语言,动环面客,魅力型需求,支持中文和英文两种语言。,0.726,0.712,auto-generated
基础公共服务,系统换肤,登录页配置,用户配置,魅力型需求,背景风格多样：系统支持三种登录页背景风格，包括全局、左右和上下布局，满足不同设计需求。,0.309,0.763,auto-generated
基础公共服务,系统换肤,系统换肤,用户配置,魅力型需求,支持系统默认或者自定义页面皮肤配置，满足背景可上传纹理图片，支持统一换色功能,0.657,0.459,auto-generated
数据管理,数据采集,实时数据采集,动环面客,基本型需求,设备通信状态逻辑依据包含：连续通信异常次数、连续不回包次数、通信异常测点占比；支持通过异常值判断设备中断；,0.955,0.338,auto-generated
数据管理,数据采集,实时曲线,动环面客,期望型需求,系统能够监控到相关设备的实时参量，并提供实时动态曲线功能，可用于页面组态，用于客户定位问题，并支持记录，时间跨度可配置；,0.748,0.64,auto-generated
数据管理,数据采集,设备接入,工程施工,基本型需求,支持串口服务器或FAU以透传方式接入；,0.775,0.298,auto-generated
数据管理,数据处理,计算和策略运算,工程施工,基本型需求,策略执行异常时支持产生告警,0.849,-0.579,auto-generated
数据管理,数据处理,历史曲线,动环面客,魅力型需求,系统应能提供多种形式的历史数据曲线，可用于设备组态和报表；历史数据曲线支持日线、周线、月线等表现形式，数据采集刻度可选择，并能自定义时间跨度（如某一天的8:20-8:45）生成用户所需曲线；,0.632,0.721,auto-generated
数据管理,数据处理,数据存储策略,用户配置,基本型需求,支持统计系统存储信息，可查看设备测点数量、存储次数信息、存储占比统计等；,0.668,-0.609,auto-generated
数据管理,数据处理,数据过时清理,售后维护,基本型需求,任何历史数据不允许任何人进行修改，保证数据的可靠性、安全性；支持历史数据的定期清理，可按先进先出原则和保存时间期限要求进行过时清理；,0.944,-0.424,auto-generated
数据管理,数据传输,数据缓存/续传,动环面客,基本型需求,支持断点续传，对上传告警和数据进行缓存，且当网络恢复之后，自动恢复上传；,0.834,-0.453,auto-generated
数据管理,数据传输,网络方式,动环面客,基本型需求,通过TCP/IP网络，将实时采集数据上传至上位机监控管理平台,0.747,-0.665,auto-generated
数据管理,数据传输,主动上报,动环面客,基本型需求,支持主动上报机制；支持实时数据解析生成告警，且在与上位平台通讯中断时仍能继续监控和告警，并支持告警和数据存储；,0.756,-0.544,auto-generated
数据管理,数据发布,标准北向接口,工程施工,基本型需求,支持北向监控数据全量推送和自定义推送；,0.814,-0.057,auto-generated
数据管理,数据发布,北向接口定制,工程施工,魅力型需求,提供ODCC北向配置功能，方便工程人员对接实施,0.512,0.623,auto-generated
联动控制,控制策略,控制策略自定义,工程施工,基本型需求,支持按照聚合方式、实时数据等多种方式对测点进行取值；,0.81,0.073,auto-generated
联动控制,控制策略,定时控制,工程施工,基本型需求,系统应支持设定设备不同的时间段执行不同的操作；根据设定好的策略自动执行控制指令，策略由用户自定义；,0.766,0.351,auto-generated
联动控制,远程控制,远程控制,售后维护,魅力型需求,支持有相关权限的人员对设备进行手动控制操作，页面上(包括设备页面模板的控制页面)有控制入口，并提供确认提示；提供控制命令下发是否实际执行的实时反馈机制；,0.948,-0.757,auto-generated
告警管理,告警生命周期,告警过滤,动环面客,期望型需求,针对连续超限情况，提供连续超限过滤功能，系统可设置连续超限时长，当告警周期大于连续超限时长，平台才生成告警；,0.753,0.229,auto-generated
告警管理,告警生命周期,告警生成和恢复,动环面客,基本型需求,支持通过告警变化率设置告警，参数量在一定周期内陡升陡降则产生一条告警；支持配置特定的状态起止点，参数量发生状态跃迁时产生对应的告警；,0.777,-0.338,auto-generated
告警管理,告警生命周期,告警分级,动环面客,期望型需求,告警语音支持自播报内容自定义,0.664,0.678,auto-generated
告警管理,告警生命周期,告警配置,用户配置,期望型需求,提供告警弹框开启配置和告警氛围灯颜色配置；,0.581,0.101,auto-generated
告警管理,告警生命周期,告警查询,动环面客,期望型需求,支持告警按逻辑子系统分类（供电配置、空调环境、安全防范、消防系统、监控系统、机柜系统等）；,0.731,-0.175,auto-generated
告警管理,告警生命周期,告警屏蔽,用户配置,期望型需求,支持对过期时间段进行标红展示；,0.479,0.544,auto-generated
告警管理,告警生命周期,告警受理,动环面客,基本型需求,具备告警受理功能，支持单条告警受理和批量告警受理，可输入受理内容；当告警出现后监控人员可以手动来受理此条告警信息，受理后不再出现重复告警提示；,0.85,-0.15,auto-generated
告警管理,告警生命周期,告警确认,动环面客,基本型需求,具备告警确认功能，支持单条告警确认和批量告警确认，可输入确认内容；当告警出现后监控人员处理判断后可以手动来确认关闭此条告警信息，确认时提供告警原因分类选择，告警原因分类项客户可配置，标准为测试告警、真实告警、误告警；,0.783,-0.214,auto-generated
告警管理,告警告知策略,告警/事件发送策略,用户配置,魅力型需求,支持配置超时未处理重发；,0.601,0.608,auto-generated
告警管理,告警告知策略,APP查询,动环面客,魅力型需求,支持通过微信/APP获取设备数据，可以查询设备的实时数据、状态，也可以查询指定时间段、指定级别的系统事件；查询内容可由用户自行定义；每一组查询都有权限控制，只有经过授权的手机才可以执行相应的查询；,0.488,0.558,auto-generated
告警管理,告警告知策略,定时报平安,动环面客,魅力型需求,定时报平安接收人员支持成员、部门、角色、地址,0.58,0.379,auto-generated
告警管理,告警告知策略,信息模板,用户配置,魅力型需求,支持通过拖拽、语义化模式简易化配置模板信息;,0.296,0.611,auto-generated
告警管理,告警告知策略,风暴预警,动环面客,魅力型需求,在产生大量告警需要发送提醒时，生成预警信息发送给接收人,0.556,0.46,auto-generated
告警管理,告警告知方式,短信告警,动环面客,基本型需求,支持短信告警告知，参数可配置；每次报警均对应着一对短信（报警和恢复），当一个报警状态解除时，系统可自动发送对应的恢复短信；支持短信网关定制；支持短信猫话费、信号强度查询；,0.782,-0.197,auto-generated
告警管理,告警告知方式,电话语音告警,动环面客,基本型需求,支持电话语音告警告知，参数可配置，支持配置接听即告警不需要提示是否接听；支持语音猫信号强度查询、话费查询；,0.957,-0.735,auto-generated
告警管理,告警告知方式,邮件告警,动环面客,基本型需求,支持电子邮件告警告知，参数可配置,0.871,0.268,auto-generated
告警管理,告警告知方式,界面告警,动环面客,基本型需求,支持界面导航分层分级展示告警（颜色变化、闪烁、跳转等），支持告警等级闪红规则设置；支持弹窗告警；,0.936,-0.635,auto-generated
告警管理,告警告知方式,声光告警,动环面客,基本型需求,支持监控单元声光告警和客户端声光告警；,0.751,0.341,auto-generated
告警管理,告警告知方式,桌面语音告警,动环面客,基本型需求,支持用浏览器语音播报告警内容，参数可配置；可通过语音自动播报触发的告警信息，信息内容可按需修改；,0.942,-0.128,auto-generated
告警管理,告警告知方式,微信告警,动环面客,基本型需求,支持微信告警告知，参数可配置,0.734,-0.092,auto-generated
告警管理,告警告知方式,popo告警,动环面客,基本型需求,支持popo发送告警告知，参数可配置，可配置定时报平安popo模板、告警策略popo模板等；,0.873,-0.553,auto-generated
告警管理,告警告知记录,告警告知记录跟踪,动环面客,期望型需求,支持对所有告警发送任务的跟踪、记录、查询和导出；查询条件包括告警源维度：空间、设备、测点；告警维度：告警级别；时间维度：发送时间、发生时间；发送类型：电话、短信、邮件等；人员维度：接收人等；发送结果维度：成功/失败；查询条件可保存；,0.64,0.733,auto-generated
移动APP,数据管理,数据展示,动环面客,魅力型需求,提供魅力相关功能和服务,0.461,0.647,auto-generated
移动APP,数据管理,实时数据曲线,动环面客,魅力型需求,提供被监控设备参数的实时动态曲线功能；,0.563,0.634,auto-generated
移动APP,数据管理,历史数据曲线,动环面客,魅力型需求,能够查询被监控设备参数的历史历史数据，提供被监控设备参数的历史曲线功能；,0.745,0.404,auto-generated
移动APP,设备控制,远程控制设备,动环面客,魅力型需求,支持用户在后台对设备添加控制参数的情况下对该设备进行远程控制；,0.549,0.476,auto-generated
移动APP,告警/事件告知,接收实时告警推送,动环面客,魅力型需求,支持接收实时告警推送和从多个维度进行筛选动作；,0.536,0.678,auto-generated
移动APP,告警/事件告知,历史告警,动环面客,魅力型需求,支持从多个维度对历史告警进行筛选查询；,0.533,0.473,auto-generated
移动APP,告警/事件告知,告警处理,动环面客,魅力型需求,对告警信息进行处理，查看告警详情，对该告警进行受理、确认操作；,0.366,0.561,auto-generated
移动APP,告警/事件告知,查看告警设备详情,动环面客,魅力型需求,支持通过告警信息查看具体设备；,0.404,0.76,auto-generated
移动APP,设备查询,设备查询,动环面客,魅力型需求,支持空间位置和关键字查询设备设备参数；,0.659,0.864,auto-generated
移动APP,设备查询,关注设备,动环面客,魅力型需求,支持通过在设备列表左滑关注\取消关注设备；,0.607,0.358,auto-generated
报表报告,查询报表,事件查询,动环面客,基本型需求,支持历史事件查询和导出，查询条件包括告警源维度：空间、设备、测点；告警维度：告警级别、告警类型（通信中断、过高、过低、状态异常、其他）；时间周期维度；事件状态维度：是否确认、是否恢复等；展现形式维度：表格、柱状图、饼状图等；查询条件可保存；,0.93,-0.447,auto-generated
报表报告,查询报表,事件生命周期查询,动环面客,基本型需求,提供对于任意一条事件信息生命周期内的状态进行跟踪统计和查询，包括告警时间，告警内容，确认时间，处理时间，处理日志、处理人及告警发送等情况的统计和查询；查询条件可保存；,0.79,-0.056,auto-generated
报表报告,查询报表,数据查询,动环面客,基本型需求,支持同时按少量测点同时查询一天刻度的原始数据查询、运行极值查询,0.789,-0.087,auto-generated
工程组态,工程组态,空间设备管理,工程施工,基本型需求,更新设备面板信息时支持设施监控和资产管理中设备信息自动更新；,0.756,-0.217,auto-generated
工程组态,工程组态,连接管理,工程施工,基本型需求,支持对采集的数据交互原始数据进行数据抓包，包括错误日志等，保证数据操作日志留存；,0.872,-0.194,auto-generated
工程组态,工程组态,配置项管理,工程施工,基本型需求,支持空间、设备、测点相应的属性和参数配置；,0.79,-0.301,auto-generated
工程组态,工程组态,模板管理,工程施工,基本型需求,支持分层分级创建设备模板库，支持设备模板增、删、改、查；,0.774,0.324,auto-generated
工程组态,工程组态,页面组态,工程施工,基本型需求,支持将系统自身的运行状态通过设备挂载到本空间下；,0.86,-0.435,auto-generated
工程组态,工程组态,设备组态,工程施工,基本型需求,运行示意图和总览采用组态，可由工程服务中心现场根据客户要求动态现场修改，适配客户定制要求；,0.863,-0.709,auto-generated
工程组态,工程组态,图元管理,工程施工,基本型需求,测点偏移量一致和站点型工程（工程结构、设备一致）情况下支持图元与设备测点的快速绑定；提供测点绑定检查工具，防止绑定遗漏和错误,0.729,-0.396,auto-generated
工程组态,工程组态,历史曲线图元,工程施工,期待型需求,与参数查询组合条件保持一致，支持配置不同的实际范围、采集刻度、聚合方式来满足不同的场景需求,0.754,-0.179,auto-generated
工程组态,工程组态,报警图元,工程施工,基本型需求,支持配置告警栏告警展示到组态中；,0.801,-0.274,auto-generated
工程组态,工程组态,电力组态,工程施工,基本型需求,专业图元、DL/T 1230-2016专业标准、意义明确、简洁美观、能直接反馈设备运行状态,0.729,-0.242,auto-generated
工程组态,工程组态,摄像头图元,工程施工,基本型需求,支持以嵌入式网页的方式绑定查看摄像头监控,0.799,0.211,auto-generated
界面展示,组态页面展示,浏览器,动环面客,基本型需求,支持谷歌Chrome88或以上浏览器，同时支持相同谷歌内核的浏览器，支持IE9以上的浏览器（通过插件支持）和360浏览器；,0.873,0.297,auto-generated
界面展示,组态页面展示,搜索查询,动环面客,基本型需求,提供记忆功能，支持对常用的操作进行记忆、维护的功能，对于用户检索的常用查询条件可以保存；用户再次进行查询时，可以直接选取之前的查询条件，免去再次输入查询条件的繁琐；,0.77,-0.062,auto-generated
界面展示,组态页面展示,分层分级页面展示,动环面客,基本型需求,支持空间（大楼、楼层、房价、机柜等）和逻辑（供电配电、空调环境等）两种维度的分层分级组态导航展示方式，提供导航栏，可快速切换；支持关键设备集中展示功能，可以在一个页面上组合若干重要设备的参数，如在同一界面上展示所有楼层的空调参数；,0.925,-0.763,auto-generated
界面展示,组态页面展示,设备页面标准化展示,动环面客,基本型需求,提供该设备所有实时采集数据的实时曲线和历史曲线功能；,0.796,-0.573,auto-generated
界面展示,组态页面展示,页面导航,动环面客,基本型需求,增加有效可用界面范围，让菜单更整洁美观，增加最近访问、菜单搜索、系统地图，方便快速定位所需要的功能,0.85,-0.573,auto-generated
界面展示,组态页面展示,设备树,动环面客,基本型需求,设备树可快速展开和隐藏，隐藏时界面上有提示；,0.791,-0.072,auto-generated
界面展示,组态页面展示,屏幕和分辨率适配,动环面客,基本型需求,支持自适应实际屏幕尺寸；支持展示区域全屏；标准满足PC：1920*1080；平板：1920*1200的分辨率应用，支持其他分辨率适配；,0.799,-0.689,auto-generated
界面展示,组态页面展示,矢量缩放,动环面客,魅力型需求,支持界面的矢量缩放，可适配大屏、PC客户端、PAD、手机等不同显示界面；在不同分辨率下，支持界面自动矢量缩放，并可快速回位；支持等比率缩放，不等比时居中处理；,0.393,0.403,auto-generated
界面展示,组态页面展示,页面风格,动环面客,魅力型需求,提供浅色和深色两套界面风格，可在登陆选择；,0.521,0.639,auto-generated
界面展示,告警展示,告警统计展示,动环面客,基本型需求,支持告警单个和批量受理，受理可输入处理意见；,0.936,-0.207,auto-generated
界面展示,告警展示,告警事件栏,动环面客,基本型需求,支持查询被屏蔽告警,0.848,-0.651,auto-generated
界面展示,告警展示,告警360,动环面客,期望型需求,支持展示该告警对应的测点曲线信息，默认展示告警发生前后1h的曲线,0.803,0.314,auto-generated
界面展示,告警展示,列设置,用户配置,魅力型需求,支持对列表内容进行手动刷新,0.403,0.88,auto-generated
界面展示,大屏展示,大屏展示,动环面客,期望型需求,支持大屏、分屏展示，可配置大屏展示的内容，包含监控组态数据可在大屏一起展示；,0.602,0.606,auto-generated
界面展示,大屏展示,界面轮播,动环面客,期望型需求,支持大屏分屏轮播配置，告警停止轮播,0.65,0.631,auto-generated
消息中心,通知公告,公告总览,动环面客,基本型需求,提供基本相关功能和服务,0.815,-0.56,auto-generated
消息中心,通知公告,创建公告,动环面客,基本型需求,支持发布公告,0.793,-0.254,auto-generated
消息中心,通知公告,草稿箱,动环面客,基本型需求,支持删除草稿箱中的公告,0.889,-0.566,auto-generated
消息中心,通知公告,已发公告,动环面客,基本型需求,支持查看发布的公告,0.763,-0.061,auto-generated
消息中心,通知公告,全部公告,动环面客,基本型需求,支持查看系统内接收到和发布的公告信息,0.957,-0.252,auto-generated
消息中心,通知公告,公告配置,动环面客,基本型需求,支持对公告信息展示形式、等级等进行配置,0.954,0.246,auto-generated
消息中心,系统消息,消息总览,动环面客,基本型需求,支持查看系统消息,0.94,-0.381,auto-generated
消息中心,系统消息,消息配置,动环面客,基本型需求,支持配置消息显示信息,0.868,0.281,auto-generated
资产信息,资产总览,资产信息,动环面客,魅力型需求,支持新增资产；,0.472,0.649,auto-generated
资产信息,资产总览,新增资产,动环面客,魅力型需求,支持新增资产；,0.421,0.789,auto-generated
资产信息,资产总览,下载模板,动环面客,魅力型需求,支持下载系统支持的资产信息模板；,0.464,0.576,auto-generated
资产信息,资产总览,资产导出,动环面客,魅力型需求,支持导出系统现有资产信息；,0.74,0.533,auto-generated
资产信息,资产总览,上架导入,动环面客,魅力型需求,支持根据模板填写信息后导入系统进行上架；,0.703,0.428,auto-generated
资产信息,资产总览,批量更新,动环面客,魅力型需求,支持根据下载的资产修改信息后导入系统进行上架修改；,0.548,0.7,auto-generated
资产信息,资产总览,批量绑定,动环面客,魅力型需求,开启资产检查配置之后，支持资产与eic标签的批量绑定；,0.373,0.821,auto-generated
资产信息,资产总览,刷新,动环面客,魅力型需求,支持手动刷新资产信息列表；,0.455,0.359,auto-generated
资产信息,资产总览,定位,动环面客,魅力型需求,支持对资产定位灯的点亮与关闭；,0.689,0.418,auto-generated
资产信息,资产总览,操作,动环面客,魅力型需求,支持对资产详情进行查看；支持编辑资产可修改信息项；支持单个资产与eic标签的绑定；支持对单个资产的删除；,0.69,0.66,auto-generated
资产信息,配置,资产检测设备,用户配置,魅力型需求,支持启用资产检测设备；,0.351,0.432,auto-generated
资产信息,配置,自动上下架配置,用户配置,魅力型需求,支持开启自动上下架；,0.554,0.453,auto-generated
资产信息,配置,自动绑定配置,用户配置,魅力型需求,支持开启自动绑定；,0.606,0.46,auto-generated
资产信息,配置,U位指示灯状态配置,用户配置,魅力型需求,支持修改空置、占用、定位、告警四种U位状态亮灯方式的配置；,0.433,0.47,auto-generated
资产信息,配置,资产条告警级别配置,用户配置,魅力型需求,支持对资产非法在架、资产位置错误、资产丢失、信息录入错误四种告警级别的配置,0.29,0.721,auto-generated
抓拍记录,抓拍记录,抓拍记录,动环面客,魅力型需求,支持通过时间对抓拍记录进行查询；,0.544,0.658,auto-generated
云平板,信息展示,总览,动环面客,基本型需求,资产在机柜上的占位显示，能效、容量、供电、环境、IT设施、报警重要观测点数据展示；支持测点查看历史数据曲线；,0.756,-0.695,auto-generated
云平板,信息展示,配电,动环面客,基本型需求,提供供电拓扑图展示，支持查看ups、配电箱、PDU测点详情以及测点曲线图；,0.926,-0.142,auto-generated
云平板,信息展示,环境,动环面客,基本型需求,提供机柜温湿度数据展示；支持设置空间回风温度；,0.945,-0.533,auto-generated
云平板,信息展示,防护,动环面客,基本型需求,提供开关门联动摄像头抓拍记录查看功能，包括图片的抓拍时间，图片大小；可点击查看图片大图；,0.862,-0.106,auto-generated
云平板,信息展示,IT设施,动环面客,基本型需求,页面左上部分提供云资源的cpu、内存、存储容量信息展示；左下半部分提供物理主机的cpu负载、内存使用率、cpu使用率占比前4的机器信息展示；右侧提供设备概览（物理机、云服务数量）、物理机状态、云服务器状态、云服务器内存使用率、cpu使用率占比前4的机器信息展示；,0.762,-0.051,auto-generated
云平板,信息展示,资产信息,动环面客,基本型需求,支持新增资产；,0.939,-0.516,auto-generated
云平板,个人设置,信息详情,用户配置,基本型需求,支持修改当前登录用户的账号、邮箱、手机、电话；,0.779,0.208,auto-generated
云平板,个人设置,刷脸设置,用户配置,基本型需求,提供刷脸配置的开关按钮，并进行人脸的录入；,0.742,-0.407,auto-generated
云平板,个人设置,修改密码,用户配置,基本型需求,支持修改密码；,0.734,0.163,auto-generated
云平板,个人设置,问题反馈,用户配置,基本型需求,提供问题未解决的反馈；,0.713,-0.241,auto-generated
云平板,个人设置,告警配置,用户配置,基本型需求,提供告警弹框开启配置和告警氛围灯颜色配置；,0.735,-0.156,auto-generated
云平板,个人设置,当前版本,用户配置,基本型需求,支持查看当前版本号信息；,0.723,-0.491,auto-generated
云平板,个人设置,注销登录,用户配置,基本型需求,支持注销登录；,0.78,0,auto-generated
云平板,告警展示,告警统计展示,动环面客,基本型需求,支持告警单个和批量受理，受理可输入处理意见；,0.862,-0.166,auto-generated
云平板,人脸识别,人脸识别,动环面客,魅力型需求,支持通过人脸进行登录；支持通过人脸识别鉴权进行设备控制；,0.403,0.546,auto-generated
门禁,门禁系统,开门控制,动环面客,魅力型需求,,0.437,0.57,auto-generated
门禁,门禁系统,用户管理,动环面客,魅力型需求,该功能项暂无详细描述,0.353,0.717,auto-generated
门禁,门禁系统,门禁记录,动环面客,魅力型需求,该功能项暂无详细描述,0.647,0.357,auto-generated
