业务模块,功能模块,功能子项,功能类型,KANO类型,功能项,第一轮筛选,第二轮筛选,第三轮筛选
基础公共服务,权限管理,角色管理,用户配置,魅力,角色管理,,2,
基础公共服务,权限管理,部门/用户组管理,用户配置,魅力,部门/用户组管理,,2,
基础公共服务,权限管理,用户管理,用户配置,基本,用户管理,,,
基础公共服务,日志管理,操作日志,售后维护,基本,操作日志,,,3
基础公共服务,日志管理,联动日志,售后维护,基本,日志查询,,,3
基础公共服务,系统工具,系统工具,售后维护,期望,系统工具,,,3
基础公共服务,系统配置,监控配置,售后维护,基本,监控配置,1,,
基础公共服务,系统配置,在线配置,售后维护,基本,在线配置,,,3
基础公共服务,系统配置,集中批量配置,售后维护,基本,集中批量配置,,,3
基础公共服务,系统维护,升级,售后维护,基本,升级,,,3
基础公共服务,系统维护,备份和还原,售后维护,基本,备份和还原,,,3
基础公共服务,系统维护,系统运行记录,售后维护,基本,系统运行记录,,,3
基础公共服务,系统维护,时间同步,售后维护,基本,时间同步,,,3
基础公共服务,系统维护,设备调测,售后维护,期望,设备调测,,,3
基础公共服务,系统维护,看门狗,售后维护,期望,看门狗,,,3
基础公共服务,系统维护,远程维护,售后维护,期望,远程维护,,,3
基础公共服务,系统自诊断,系统自恢复,售后维护,基本,系统自恢复,,,3
基础公共服务,安全管理,账户密码安全,动环面客,基本,账户密码安全,,,
基础公共服务,安全管理,系统安全,动环面客,基本,系统安全,,,
基础公共服务,系统自监控,系统自监控,动环面客,基本,系统自监控,,,
基础公共服务,多语言,多语言,动环面客,魅力,多语言,,,
基础公共服务,系统换肤,登录页配置,用户配置,魅力,登录页配置,,2,
基础公共服务,系统换肤,系统换肤,用户配置,魅力,系统换肤,,2,
数据管理,数据采集,实时数据采集,动环面客,基本,实时数据采集,,,
数据管理,数据采集,实时曲线,动环面客,期望,实时曲线,,,
数据管理,数据采集,设备接入,工程施工,基本,设备接入,,,3
数据管理,数据处理,计算和策略运算,工程施工,基本,计算和策略运算,1,,
数据管理,数据处理,历史曲线,动环面客,魅力,历史曲线,,,
数据管理,数据处理,数据存储策略,用户配置,基本,数据存储策略,,2,
数据管理,数据处理,数据过时清理,售后维护,基本,数据过时清理,,,3
数据管理,数据传输,数据缓存/续传,动环面客,基本,数据缓存/续传,,,
数据管理,数据传输,网络方式,动环面客,基本,网络方式,,,
数据管理,数据传输,主动上报,动环面客,基本,主动上报,,,
数据管理,数据发布,标准北向接口,工程施工,基本,标准北向接口,,,3
数据管理,数据发布,北向接口定制,工程施工,魅力,北向接口定制,1,,
联动控制,控制策略,控制策略自定义,工程施工,基本,控制策略自定义,1,,
联动控制,控制策略,定时控制,工程施工,基本,定时控制,1,,
联动控制,远程控制,远程控制,售后维护,魅力,远程控制,,,3
告警管理,告警生命周期,告警过滤,动环面客,期望,告警过滤,,,
告警管理,告警生命周期,告警生成和恢复,动环面客,基本,告警生成和恢复,,,
告警管理,告警生命周期,告警分级,动环面客,期望,告警分级,,,
告警管理,告警生命周期,告警配置,用户配置,期望,告警配置,,,
告警管理,告警生命周期,告警查询,动环面客,期望,告警分类,,,
告警管理,告警生命周期,告警屏蔽,用户配置,期望,告警屏蔽,,,
告警管理,告警生命周期,告警受理,动环面客,基本,告警受理,,,
告警管理,告警生命周期,告警确认,动环面客,基本,告警确认,,,
告警管理,告警告知策略,告警/事件发送策略,用户配置,魅力,告警/事件发送策略,,,
告警管理,告警告知策略,APP查询,动环面客,魅力,APP查询,,2,
告警管理,告警告知策略,定时报平安,动环面客,魅力,定时报平安,,,
告警管理,告警告知策略,信息模板,用户配置,魅力,信息模板,,,
告警管理,告警告知策略,风暴预警,动环面客,魅力,风暴预警,,,
告警管理,告警告知方式,短信告警,动环面客,基本,短信告警,,,
告警管理,告警告知方式,电话语音告警,动环面客,基本,电话语音告警,,,
告警管理,告警告知方式,邮件告警,动环面客,基本,邮件告警,,,
告警管理,告警告知方式,界面告警,动环面客,基本,界面告警,,,
告警管理,告警告知方式,声光告警,动环面客,基本,声光告警,,,
告警管理,告警告知方式,桌面语音告警,动环面客,基本,桌面语音告警,,,
告警管理,告警告知方式,微信告警,动环面客,基本,微信告警,,,
告警管理,告警告知方式,popo告警,动环面客,基本,popo告警,,,
告警管理,告警告知记录,告警告知记录跟踪,动环面客,期望,告警告知记录跟踪,,,
移动APP,数据管理,数据展示,动环面客,魅力,魅力,,2,
移动APP,数据管理,实时数据曲线,动环面客,魅力,实时数据曲线,,2,
移动APP,数据管理,历史数据曲线,动环面客,魅力,历史数据曲线,,2,
移动APP,设备控制,远程控制设备,动环面客,魅力,远程控制设备,,2,
移动APP,告警/事件告知,接收实时告警推送,动环面客,魅力,接收实时告警推送,,2,
移动APP,告警/事件告知,历史告警,动环面客,魅力,历史告警,,2,
移动APP,告警/事件告知,告警处理,动环面客,魅力,告警处理,,2,
移动APP,告警/事件告知,查看告警设备详情,动环面客,魅力,查看告警设备详情,,2,
移动APP,设备查询,设备查询,动环面客,魅力,设备查询,,2,
移动APP,设备查询,关注设备,动环面客,魅力,关注设备,,2,
报表报告,查询报表,事件查询,动环面客,基本,事件查询,,2,
报表报告,查询报表,事件生命周期查询,动环面客,基本,事件生命周期查询,,2,
报表报告,查询报表,数据查询,动环面客,基本,数据查询,,2,
工程组态,工程组态,空间设备管理,工程施工,基本,空间设备管理,1,,
工程组态,工程组态,连接管理,工程施工,基本,连接管理,1,,
工程组态,工程组态,配置项管理,工程施工,基本,配置项管理,1,,
工程组态,工程组态,模板管理,工程施工,基本,模板管理,1,,
工程组态,工程组态,页面组态,工程施工,基本,页面组态,1,,
工程组态,工程组态,设备组态,工程施工,基本,设备组态,1,,
工程组态,工程组态,图元管理,工程施工,基本,图元管理,1,,
工程组态,工程组态,历史曲线图元,工程施工,期望,历史曲线图元,1,,
工程组态,工程组态,报警图元,工程施工,基本,报警图元,1,,
工程组态,工程组态,电力组态,工程施工,基本,电力组态,1,,
工程组态,工程组态,摄像头图元,工程施工,基本,摄像头图元,1,,
界面展示,组态页面展示,浏览器,动环面客,基本,浏览器,,,
界面展示,组态页面展示,搜索查询,动环面客,基本,搜索查询,,,
界面展示,组态页面展示,分层分级页面展示,动环面客,基本,分层分级页面展示,,,
界面展示,组态页面展示,设备页面标准化展示,动环面客,基本,设备页面标准化展示,,,
界面展示,组态页面展示,页面导航,动环面客,基本,页面导航,,,
界面展示,组态页面展示,设备树,动环面客,基本,设备树,,,
界面展示,组态页面展示,屏幕和分辨率适配,动环面客,基本,屏幕和分辨率适配,,,
界面展示,组态页面展示,矢量缩放,动环面客,魅力,矢量缩放,,2,
界面展示,组态页面展示,页面风格,动环面客,魅力,页面风格,,2,
界面展示,告警展示,告警统计展示,动环面客,基本,告警统计展示,,,
界面展示,告警展示,告警事件栏,动环面客,基本,告警事件栏,,,
界面展示,告警展示,告警360,动环面客,期望,告警360,,,
界面展示,告警展示,列设置,用户配置,魅力,列设置,,2,
界面展示,大屏展示,大屏展示,动环面客,期望,大屏展示,,2,
界面展示,大屏展示,界面轮播,动环面客,期望,界面轮播,,2,
消息中心,通知公告,公告总览,动环面客,基本,基本,,2,
消息中心,通知公告,创建公告,动环面客,基本,创建公告,,2,
消息中心,通知公告,草稿箱,动环面客,基本,草稿箱,,2,
消息中心,通知公告,已发公告,动环面客,基本,已发公告,,2,
消息中心,通知公告,全部公告,动环面客,基本,全部公告,,2,
消息中心,通知公告,公告配置,动环面客,基本,公告配置,,2,
消息中心,系统消息,消息总览,动环面客,基本,消息总览,,2,
消息中心,系统消息,消息配置,动环面客,基本,消息配置,,2,
资产信息,资产总览,资产信息,动环面客,魅力,资产信息,,,
资产信息,资产总览,新增资产,动环面客,魅力,新增资产,,,
资产信息,资产总览,下载模板,动环面客,魅力,下载模板,,,
资产信息,资产总览,资产导出,动环面客,魅力,资产导出,,,
资产信息,资产总览,上架导入,动环面客,魅力,上架导入,,,
资产信息,资产总览,批量更新,动环面客,魅力,批量更新,,,
资产信息,资产总览,批量绑定,动环面客,魅力,批量绑定,,,
资产信息,资产总览,刷新,动环面客,魅力,刷新,,,
资产信息,资产总览,定位,动环面客,魅力,定位,,,
资产信息,资产总览,操作,动环面客,魅力,操作,,,
资产信息,配置,资产检测设备,用户配置,魅力,资产检测设备,,,
资产信息,配置,自动上下架配置,用户配置,魅力,自动上下架配置,,,
资产信息,配置,自动绑定配置,用户配置,魅力,自动绑定配置,,,
资产信息,配置,U位指示灯状态配置,用户配置,魅力,U位指示灯状态配置,,,
资产信息,配置,资产条告警级别配置,用户配置,魅力,资产条告警级别配置,,,
抓拍记录,抓拍记录,抓拍记录,动环面客,魅力,抓拍记录,,2,
云平板,信息展示,总览,动环面客,基本,总览,,,
云平板,信息展示,配电,动环面客,基本,配电,,,
云平板,信息展示,环境,动环面客,基本,环境,,,
云平板,信息展示,防护,动环面客,基本,防护,,,
云平板,信息展示,IT设施,动环面客,基本,IT设施,,,
云平板,信息展示,资产信息,动环面客,基本,资产信息,,,
云平板,个人设置,信息详情,用户配置,基本,信息详情,,,
云平板,个人设置,刷脸设置,用户配置,基本,刷脸设置,,,
云平板,个人设置,修改密码,用户配置,基本,修改密码,,,
云平板,个人设置,问题反馈,用户配置,基本,问题反馈,,,
云平板,个人设置,告警配置,用户配置,基本,告警配置,,,
云平板,个人设置,当前版本,用户配置,基本,当前版本,,,
云平板,个人设置,注销登录,用户配置,基本,注销登录,,,
云平板,告警展示,告警统计展示,动环面客,基本,告警统计展示,,,
云平板,人脸识别,人脸识别,动环面客,魅力,人脸识别,,,
门禁,门禁系统,开门控制,动环面客,魅力,北向连接,,,
门禁,门禁系统,用户管理,动环面客,魅力,,,,
门禁,门禁系统,门禁记录,动环面客,魅力,,,,
ECO,ECO控制系统,ECO控制模式,动环面客,魅力,,,2,
ECO,ECO控制系统,ECO参数设置,动环面客,魅力,,,2,
ECO,ECO日志,ECO日志,动环面客,魅力,,,2,
